D00001|18-UREC1M-AV|BMTEX|Los tablones de madera y polietileno reciclados le dan una apariencia natural,|así como una dureza muy similar a la madera, pero con mayor duración y cero mantenimientos.|Acero: pintura electrostática con pretratamiento de fosfato de zinc. Madera y polietileno: apariencia madera natural.|Estructura y tapa en acero. Cuerpo en mezcla de madera y polietileno.|16|140.00|Atornillar o anclar en cemento.|Tapa retirable y trampa para bolsas de plástico o colocar bote interior.|68.5||87|||||||||Amplia Variedad
D00002|19-UREC2M-AV|BMTEX|Los tablones de madera y polietileno reciclados le dan una apariencia natural,|así como una dureza muy similar a la madera, pero con mayor duración y cero mantenimientos.|Acero: pintura electrostática con pretratamiento de fosfato de zinc. Madera y polietileno: apariencia madera natural|Estructura y tapa en acero. Cuerpo en mezcla de madera y polietileno.|16|70.00|Atornillar o anclar en cemento.|Cuenta con trampa para colocar bolsa de plástico.|47|25.6|100||41.5||60.0|||||Amplia Variedad
D00003|20-BSDTECM-AV|BMTEX|Los tablones de madera y polietileno reciclados le dan una apariencia natural,|así como una dureza muy similar a la madera, pero con mayor duración y cero mantenimientos.|Acero: pintura electrostática con pretratamiento de fosfato de zinc. Madera y polietileno: apariencia madera natural|Estructura y tapa en acero. Cuerpo en mezcla de madera y polietileno.|16|260.00|Atornillar o anclar en cemento.|Cada bote viene con trampa para bolsa de plástico.|120||160||||65.0|49.0||||Amplia Variedad
D00004|21-BUREC3M-AV|BMTEX|Los tablones de madera y polietileno reciclados le dan una apariencia natural,|así como una dureza muy similar a la madera, pero con mayor duración y cero mantenimientos.|Acero: pintura electrostática con pretratamiento de fosfato de zinc. Madera y polietileno: apariencia madera natural|Estructura y tapa en acero. Cuerpo en mezcla de madera y polietileno.|16|80.00 |Atornillar o anclar en cemento.||||86|49.0||||||||Amplia Variedad
D00005|22-BML2C1-AV|BMTEX|||Pintura electrostática con pretratamiento de fosfato de zinc.|Acero|16|31.00|Atornillar o ahogar en cemento.||38.5|24.5|84|||||||||Amplia Variedad
D00006|23-BML2C2-AV|BMTEX|||Pintura electrostática con pretratamiento de fosfato de zinc.|Acero|16|62.00|Atornillar o ahogar en cemento.||38.5|44|84|||||||||Amplia Variedad
D00007|24-BML2C3-AV|BMTEX|||Pintura electrostática con pretratamiento de fosfato de zinc.|Acero|16|93.00|Atornillar o ahogar en cemento||||100|||24.5|60.0|||||Amplia Variedad
D00008|25-BML2G1-AV|BMTEX|||Pintura electrostática con pretratamiento de fosfato de zinc.|Acero|16|65.00|Atornillar o ahogar en cemento||49|30.5|92.5|||||||||Amplia Variedad
D00009|26-BML2G2-AV|BMTEX|||Pintura electrostática con pretratamiento de fosfato de zinc.|Acero|16|130.00|Atornillar o ahogar en cemento||49|54.5|92.5|||||||||Amplia Variedad
D00010|27-BML2G3-AV|BMTEX|||Pintura electrostática con pretratamiento de fosfato de zinc.|Acero|16|195.00|Atornillar o ahogar en cemento|||79|100|||30.5|60.0|||||Amplia Variedad
D00011|28-BOUR15-AV|BMTEX|||Pintura electrostática con pretratamiento de fosfato de zinc.|Acero|16|94.00|Atornillar o ahogar en cemento||55|30|100||||70.0|||||Amplia Variedad
D00012|29-BURB14-AV|BMTEX|||Pintura electrostática con pretratamiento de fosfato de zinc.|Acero|16|60.00|Atornillar o ahogar en cemento||42|42|135||||60.0|||||Amplia Variedad
D00013|30-BURB13-AV|BMTEX|||Pintura electrostática con pretratamiento de fosfato de zinc.|Acero|16|192.00|Atornillar o ahogar en cemento||82.5||85||40.0||60.0|||||Amplia Variedad
D00014|31-BAMAL2-AV|BMTEX|||Pintura electrostática con pretratamiento de fosfato de zinc.|Acero al carbón y tubo|16|164.00|Atornillar o ahogar en cemento||||97|43.0||92.5|60.0|||||Amplia Variedad
D00015|32-BAMAL1-AV|BMTEX|||Pintura electrostática con pretratamiento de fosfato de zinc.|Acero al carbón y tubo|16|82.00|Atornillar o ahogar en cemento||||97|43.0|||60.0|||||Amplia Variedad
D00016|33-MLTRGD-AV|BMTEX|||Pintura electrostática con pretratamiento de fosfato de zinc.|Acero|16|195.00|Atornillar o ahogar en cemento||||100||||60.0|||||Amplia Variedad
D00017|34-MLTRCH-AV|BMTEX|||Pintura electrostática con pretratamiento de fosfato de zinc.|Acero|16|93.00|Atornillar o ahogar en cemento||||100||||60.0|||||Amplia Variedad
D00018|35-MILTRI-AV|BMTEX|||Pintura electrostática con pretratamiento de fosfato de zinc.|Acero|16|183.00|Atornillar o ahogar en cemento.||||59|36.0||||||||Amplia Variedad
D00019|36-NAPTRI-AV|BMTEX|||Pintura electrostática con pretratamiento de fosfato de zinc.|Acero|16|390.00|Atornillar o ahogar en cemento.||177||95||||65.0|49.0||||Amplia Variedad
D00020|37-SQUADR-AV|BMTEX|||Pintura electrostática con pretratamiento de fosfato de zinc.|Acero|16|130.00|Atornillar, anclar en cemento o movible.|Trampa para colocar bolsa plástica o colocar interno.|42|42|81|||||||||Amplia Variedad
D00021|38-GRILLO-AV|BMTEX|||Pintura electrostática con pretratamiento de fosfato de zinc.|Acero|16|40.00|Atornillar, anclar en cemento.|Tapa superior abatible, con trampa para bolsa.|34|47|106|||||||||Amplia Variedad
D00022|39-LINEA-AV|BMTEX|||Pintura electrostática con pretratamiento de fosfato de zinc.|Acero|16|80.00|Atornillar, ahogar en cemento o movible.|Tapa superior abatible, con trampa para bolsa.|||80.5|36.0||||||||Amplia Variedad
D00023|40-SORREN-AV|BMTEX|||Pintura electrostática con pretratamiento de fosfato de zinc.|Acero|16|110.00|Atornillar o ahogar en cemento.|El bote cuenta con puerta con jaladera para sacar la basura (dentro del bote se puede colocar un bote de plástico o bolsa para contener residuos).|47|51|100|||||||||Amplia Variedad
D00024|41-RVELLO-AV|BMTEX|||Pintura electrostática con pretratamiento de fosfato de zinc.|Acero|16|140.00|Atornillar o ahogar en cemento.||||91|84.0||||51.0||||Amplia Variedad
D00025|42-BURANO-AV|BMTEX|||Pintura electrostática con pretratamiento de fosfato de zinc.|Acero|16|61.00|Atornillar o ahogar en cemento.||51||98||||59.0|36.0||||Amplia Variedad
D00026|43-BURDOB-AV|BMTEX|||Pintura electrostática con pretratamiento de fosfato de zinc.|Acero|16|122.00|atornillar o ahogar en cemento||97||98||||59.0|36.0||||Amplia Variedad
D00027|44-LIMA30-AV|BMTEX|Papelera metálica con doble protección contra óxido y corrosión. |Empotrable en pared con llave de acceso.||Metálico|16|30.00|atornillar o ahogar en cemento.||||||||47.5|29.5||||Amplia Variedad
D00028|45-LIMADOB-AV|BMTEX|Papelera metálica con doble protección contra óxido y corrosión. |Empotrable en pared con llave de acceso.||Metálico|16|60.00|atornillar o ahogar en cemento.||||||||47.5|29.5||||Amplia Variedad
D00029|46-CAPRI-AV|BMTEX|||Pintura electrostática con pretratamiento de fosfato de zinc.|Acero|16|61.00|atornillar o ahogar en cemento.|Tapa fija con bote abatible o tapa abatible con bote fijo.|51||111.2||||59.0|36.0||||Amplia Variedad
D00030|47-CAPRIDB-AV|BMTEX|||Pintura electrostática con pretratamiento de fosfato de zinc.|Acero|16|122.00|atornillar o ahogar en cemento.|Tapa fija con bote abatible o tapa abatible con bote fijo.|100||111.2||||59.0|36.0||||Amplia Variedad
D00031|48-MURANO-AV|BMTEX|||Pintura electrostática con pretratamiento de fosfato de zinc.|Acero|16|61.00|atornillar o ahogar en cemento.||50||160||||59.0|36.0|42.0|22.0||Amplia Variedad
D00032|49-MURADB-AV|BMTEX|||Pintura electrostática con pretratamiento de fosfato de zinc.|Acero|16|122.00|atornillar o ahogar en cemento.||97||160||||59.0|36.0|42.0|22.0||Amplia Variedad
D00033|50-MILAN-AV|BMTEX|||Pintura electrostática con pretratamiento de fosfato de zinc.|Acero|16|61.00|atornillar o ahogar en cemento. No incluye tubo.||||59|36.0||||||||Amplia Variedad
D00034|51-SIENA-AV|BMTEX|||Pintura electrostática con pretratamiento de fosfato de zinc.|Acero|16|61.00|atornillar o ahogar en cemento.|Se recomienda abatible.|45||160||||59.0|36.0|42.0|24.5||Amplia Variedad
D00035|52-SIENDB-AV|BMTEX|||Pintura electrostática con pretratamiento de fosfato de zinc.|Acero|16|122.00|atornillar o ahogar en cemento.|Se recomienda abatible.|97||160||||59.0|36.0|42.0|24.5||Amplia Variedad
D00036|53-NAPOLI-AV|BMTEX|||Pintura electrostática con pretratamiento de fosfato de zinc.|Acero|16|130.00|atornillar o ahogar en cemento.||64||132||||65.0|51.0||||Amplia Variedad
D00037|54-NAPODB-AV|BMTEX|||Pintura electrostática con pretratamiento de fosfato de zinc.|Acero|16|260.00|atornillar o ahogar en cemento.||123||95||||65.0|51.0||||Amplia Variedad
D00038|55- RIMINI-AV|BMTEX|||Pintura electrostática con pretratamiento de fosfato de zinc.|Acero|16|61.00|atornillar o ahogar en cemento.||53||135||||59.0|36.0||||Amplia Variedad
D00039|56-PARMA-AV|BMTEX|||Pintura electrostática con pretratamiento de fosfato de zinc.|Acero|16|61.00|atornillar o ahogar en cemento.||51||98||||59.0|36.0||||Amplia Variedad
D00040|57-PLRMO-AV|BMTEX|||Pintura electrostática con pretratamiento de fosfato de zinc.|Acero|16|130.00|atornillar o ahogar en cemento.||60||92||||65.0|51.0||||Amplia Variedad
D00041|58-SLRNO-AV|BMTEX|||Pintura electrostática con pretratamiento de fosfato de zinc.|Acero|16|130.00|atornillar o ahogar en cemento.||64||180||||65.0|51.0|54.0|40.0||Amplia Variedad
D00042|59-SLCIA-AV|BMTEX|||Pintura electrostática con pretratamiento de fosfato de zinc.|Acero|16|130.00|atornillar o ahogar en cemento.||63||160||||65.0|51.0|50.0|20.0||Amplia Variedad
D00043|60-SLCADB-AV|BMTEX|||Pintura electrostática con pretratamiento de fosfato de zinc.|Acero|16|260.00|atornillar o ahogar en cemento.||121||160||||65.0|51.0|50.0|20.0||Amplia Variedad
D00044|61-SLCTAP-AV|BMTEX|||Pintura electrostática con pretratamiento de fosfato de zinc.|Acero|16|130.00|atornillar o ahogar en cemento.||63||160||||65.0|51.0|50.0|20.0||Amplia Variedad
D00045|62-SLDBTP-AV|BMTEX|||Pintura electrostática con pretratamiento de fosfato de zinc.|Acero|16|260.00|atornillar o ahogar en cemento.||121||160||||65.0|51.0|50.0|20.0||Amplia Variedad
D00046|63-MDLUGD-AV|BMTEX|||Pintura electrostática con pretratamiento de fosfato de zinc.|Acero|16|65.00|atornillar o ahogar en cemento.||49|30.5|92.5|||||||||Amplia Variedad
D00047|64-MDLUCH-AV|BMTEX|||Pintura electrostática con pretratamiento de fosfato de zinc.|Acero|16|31.00|atornillar o ahogar en cemento.||38.5|24.5|84|||||||||Amplia Variedad
D00048|65-MLDBGD-AV|BMTEX|||Pintura electrostática con pretratamiento de fosfato de zinc.|Acero|16|130.00|atornillar o ahogar en cemento.||49||92.5|54.5||||||||Amplia Variedad
D00049|66-MLNDBCH-AV|BMTEX|||Pintura electrostática con pretratamiento de fosfato de zinc.|Acero|16|61.00|atornillar o ahogar en cemento.||38.5||84|44.0||||||||Amplia Variedad
D00050|67-URBAN12-AV|BMTEX|||Pintura electrostática con pretratamiento de fosfato de zinc.|Acero|16|61.00|atornillar o ahogar en cemento.||45||112|38.0||||||||Amplia Variedad
D00051|68-URBANI3-AV|BMTEX|||Pintura electrostática con pretratamiento de fosfato de zinc.|Acero|16|61.00|atornillar, ahogar en cemento o movible.||||61|36.0||||37.5|||Cenicero de 33.0 cm de diámetro|Amplia Variedad
D00052|69-URBANI1-AV|BMTEX|||Pintura electrostática con pretratamiento de fosfato de zinc.|Acero|16|61.00|atornillar, ahogar en cemento o movible.||||61|36.0||||||||Amplia Variedad
D00053|70-URBANI2-AV|BMTEX|||Pintura electrostática con pretratamiento de fosfato de zinc.|Acero|16|61.00|atornillar o ahogar en cemento.||40||100||||61.0|36.0||||Amplia Variedad
D00054|71-LISBOA-AV|BMTEX|||Pintura electrostática con pretratamiento de fosfato de zinc.|Acero|16|61.00|atornillar o ahogar en cemento.||51||98||||59.0|36.0||||Amplia Variedad
D00055|72-PISA1-AV|BMTEX|||Pintura electrostática con pretratamiento de fosfato de zinc.|Acero|16|130.00|atornillar o ahogar en cemento.|tapa fija con bote abatible o tapa abatible con bote fijo.|62||110||||65.0|51.0||||Amplia Variedad
D00056|73-PIISADB-AV|BMTEX|||Pintura electrostática con pretratamiento de fosfato de zinc.|Acero|16|130.00|atornillar o ahogar en cemento.|tapa fija con bote abatible o tapa abatible con bote fijo.|120||100||||65.9|51.0||||Amplia Variedad
D00057|74-URBANI5-AV|BMTEX|||Pintura electrostática con pretratamiento de fosfato de zinc.|Acero|16|210.00|atornillar, ahogar en cemento o movible.||||85.5|56.0||||||||Amplia Variedad
D00058|75-URBANI6-AV|BMTEX|||Pintura electrostática con pretratamiento de fosfato de zinc.|Acero|16|61.00|atornillar, ahogar en cemento o movible.||52||135||||58.5|36.0||||Amplia Variedad
D00059|76-BTINON1-AV|BMTEX|||Pintura electrostática con pretratamiento de fosfato de zinc.|Acero|16|42.00|atornillar o ahogar en cemento.||||127||||39.0|37.0||||Amplia Variedad
D00060|77-BTINON2-AV|BMTEX|||Pintura electrostática con pretratamiento de fosfato de zinc.|Acero|16|84.00|atornillar o ahogar en cemento.||||127||||59.0|49.0||||Amplia Variedad
D00061|78-URBANI7-AV|BMTEX|||Pintura electrostática con pretratamiento de fosfato de zinc.|Acero|16|61.00|atornillar o ahogar en cemento.||40|50|120||||60.0|36.0||||Amplia Variedad
D00062|79-URBANI8-AV|BMTEX|||Pintura electrostática con pretratamiento de fosfato de zinc.|Acero|16|100.00|atornillar o ahogar en cemento.||46|45|90|||||||||Amplia Variedad
D00063|80-URBANI9-AV|BMTEX|||Pintura electrostática con pretratamiento de fosfato de zinc.|Acero|16|70.00|atornillar o ahogar en cemento.||61|37|100||46.0|35.0|60.0|||||Amplia Variedad
D00064|81-URBAN10-AV|BMTEX|||Pintura electrostática con pretratamiento de fosfato de zinc.|Acero|16|30.00|atornillar o ahogar en cemento.|||30|80|||||||||Amplia Variedad
D00065|82-URBAN11-AV|BMTEX|||Pintura electrostática con pretratamiento de fosfato de zinc.|Acero|16|140.00|atornillar o ahogar en cemento.||83|44|90||42.0||60.0|||||Amplia Variedad
D00066|83-RVLLO2-AV|BMTEX|||Pintura electrostática con pretratamiento de fosfato de zinc.|Acero|16|100.00|atornillar o ahogar en cemento.||||90|60.0|||75.0|42.0||||Amplia Variedad
D00067|84-VIA1-AV|BMTEX|||Pintura electrostática con pretratamiento de fosfato de zinc.|Acero|16|85.00|atornillar o ahogar en cemento.||72.9||150||57.0|30.0|50.0|||||Amplia Variedad
D00068|85-DB3660-AV|BMTEX|Con doble cilindro||Pintura electrostática con pretratamiento de fosfato de zinc.|Acero|16||Poste para anclaje o atornillar al piso||||||||60.0|36.0|||"Poste de 2"" de diámetro y 120.0 cm de alto"|Amplia Variedad
D00069|86-S3660-AV|BMTEX|||Pintura electrostática con pretratamiento de fosfato de zinc.|Acero|16||Poste para anclaje o atornillar al piso||||||||60.0|36.0|||"Poste de 2"" de diámetro y 120.0 cm de alto"|Amplia Variedad
D00070|87-PACHDB-AV|BMTEX|||Pintura electrostática con pretratamiento de fosfato de zinc.|Acero|16|122.00|atornillar o ahogar en cemento.||||120||||60.0|36.0||||Amplia Variedad
D00071|88-PACHSN-AV|BMTEX|||Pintura electrostática con pretratamiento de fosfato de zinc.|Acero|16|61.00|atornillar o ahogar en cemento.||||120||||60.0|36.0||||Amplia Variedad
D00072|89-BRCNAR-AV|BMTEX|Papelera metálica con doble protección contra óxido y corrosión. |Con llave de acceso con area para letrero.||Metálico|16|80.00|Al piso ||66|45|188|||||||||Amplia Variedad
D00073|90-BRCNRC-AV|BMTEX|Juego de papeleras metálicas con protección contra óxido y corrosión.|Con llave de acceso con area para letrero.||Metálico|16|160.00|Al piso ||119|46|173.5||||||||Con contenedor de Polietileno|Amplia Variedad
D00074|91-BRC80CL-AV|BMTEX|Papelera metálica con protección contra óxido y corrosión.|Con llave de acceso con area para letrero.||Metálico|16|80.00|Al piso ||61.7|46|180||||||46.0|48.6|Con contenedor de Polietileno|Amplia Variedad
D00075|92-BRCNA80-AV|BMTEX|Papelera metálica con protección contra óxido y corrosión.|Con llave de acceso.||Metálico|16|80.00|||61.7|46|180||||||||Con contenedor de Polietileno|Amplia Variedad
D00076|93-MRCNDIS-AV|BMTEX|||Pintura electrostática con pretratamiento de fosfato de zinc.|Acero|16|61.00|Atornillar o ahogar en cemento.||50||210||||59.0|36.0|42.0|22.0|Con disco de 38.0 cm de diámetro|Amplia Variedad
